prediction_feature,feature,feature_importance
classificacao_acidente,tipo_acidente,0.448405
classificacao_acidente,causa_acidente,0.155526
classificacao_acidente,pessoas,0.10644
classificacao_acidente,veiculos,0.083399
classificacao_acidente,latitude,0.04879
classificacao_acidente,fase_dia,0.03759
classificacao_acidente,longitude,0.034736
classificacao_acidente,uso_solo,0.020229
classificacao_acidente,km,0.011115
classificacao_acidente,dia_semana,0.009984
classificacao_acidente,br,0.007741
classificacao_acidente,delegacia,0.00691
classificacao_acidente,uf,0.005634
classificacao_acidente,tipo_pista,0.005451
classificacao_acidente,municipio,0.005375
classificacao_acidente,sentido_via,0.004531
classificacao_acidente,uop,0.004184
classificacao_acidente,regional,0.002635
classificacao_acidente,condicao_metereologica,0.001325
feridos_graves,tipo_acidente,0.312188
feridos_graves,latitude,0.134617
feridos_graves,pessoas,0.087159
feridos_graves,causa_acidente,0.066443
feridos_graves,longitude,0.056344
feridos_graves,tipo_pista,0.054891
feridos_graves,veiculos,0.051999
feridos_graves,km,0.051113
feridos_graves,delegacia,0.036025
feridos_graves,municipio,0.034114
feridos_graves,uop,0.03229
feridos_graves,br,0.022737
feridos_graves,regional,0.013997
feridos_graves,fase_dia,0.01031
feridos_graves,condicao_metereologica,0.009523
feridos_graves,uso_solo,0.007272
feridos_graves,sentido_via,0.007104
feridos_graves,dia_semana,0.006048
feridos_graves,uf,0.005829
tipo_pista,longitude,0.143822
tipo_pista,latitude,0.128499
tipo_pista,km,0.11204
tipo_pista,delegacia,0.090874
tipo_pista,br,0.079787
tipo_pista,uop,0.063177
tipo_pista,municipio,0.04284
tipo_pista,causa_acidente,0.038895
tipo_pista,tipo_acidente,0.035339
tipo_pista,regional,0.034798
tipo_pista,uf,0.034597
tipo_pista,dia_semana,0.029359
tipo_pista,uso_solo,0.022641
tipo_pista,pessoas,0.017963
tipo_pista,condicao_metereologica,0.017553
tipo_pista,ilesos,0.016469
tipo_pista,fase_dia,0.015521
tipo_pista,veiculos,0.013775
tipo_pista,feridos_leves,0.012786
tipo_pista,feridos,0.012185
tipo_pista,sentido_via,0.010865
tipo_pista,ignorados,0.008832
tipo_pista,feridos_graves,0.008178
tipo_pista,classificacao_acidente,0.007122
tipo_pista,mortos,0.002084
